"","Day","Condition","OrgID","Size"
"1",3,"CONTROL","1",0.2122822
"2",3,"CONTROL","2",0.22493936
"3",3,"CONTROL","3",0.22370411
"4",3,"CONTROL","4",0.27815819
"5",3,"CONTROL","5",0.31206479
"6",3,"CONTROL","6",0.29458093
"7",3,"CONTROL","7",0.32153861
"8",3,"CONTROL","8",0.26938905
"9",3,"CONTROL","9",0.21948415
"10",3,"CONTROL","10",0.22855802
"11",3,"CONTROL","11",0.23389623
"12",3,"CONTROL","12",0.27606862
"13",3,"CONTROL","13",0.2815864
"14",3,"CONTROL","14",0.29146834
"15",3,"CONTROL","15",0.2943932
"16",3,"CACHD1_MUTANT1","1",0.2227736
"17",3,"CACHD1_MUTANT1","2",0.2133814
"18",3,"CACHD1_MUTANT1","3",0.24428968
"19",3,"CACHD1_MUTANT1","4",0.36725892
"20",3,"CACHD1_MUTANT1","5",0.27794053
"21",3,"CACHD1_MUTANT1","6",0.24168315
"22",3,"CACHD1_MUTANT1","7",0.22467816
"23",3,"CACHD1_MUTANT1","8",0.20604885
"24",3,"CACHD1_MUTANT1","9",0.1480795
"25",3,"CACHD1_MUTANT1","10",0.24894225
"26",3,"CACHD1_MUTANT1","11",0.25596735
"27",3,"CACHD1_MUTANT1","12",0.32711353
"28",3,"CACHD1_MUTANT1","13",0.32322279
"29",3,"CACHD1_MUTANT1","14",0.28289238
"30",3,"CACHD1_MUTANT1","15",0.28332227
"31",3,"CACHD1_MUTANT1","16",0.20318657
"32",3,"CACHD1_MUTANT2","1",0.21282636
"33",3,"CACHD1_MUTANT2","2",0.21779726
"34",3,"CACHD1_MUTANT2","3",0.28883461
"35",3,"CACHD1_MUTANT2","4",0.40206339
"36",3,"CACHD1_MUTANT2","5",0.36442657
"37",3,"CACHD1_MUTANT2","6",0.31792539
"38",3,"CACHD1_MUTANT2","7",0.26359647
"39",3,"CACHD1_MUTANT2","8",0.25115426
"40",3,"CACHD1_MUTANT2","9",0.13551213
"41",3,"CACHD1_MUTANT2","10",0.17660164
"42",3,"CACHD1_MUTANT2","11",0.25052847
"43",3,"CACHD1_MUTANT2","12",0.39885556
"44",3,"CACHD1_MUTANT2","13",0.42923873
"45",3,"CACHD1_MUTANT2","14",0.35362228
"46",3,"CACHD1_MUTANT2","15",0.24491274
"47",3,"CACHD1_MUTANT2","16",0.19907544
"48",6,"CONTROL","1",0.57330233
"49",6,"CONTROL","2",0.57315268
"50",6,"CONTROL","3",0.5770924
"51",6,"CONTROL","4",0.582534
"52",6,"CONTROL","5",0.61110511
"53",6,"CONTROL","6",0.60983178
"54",6,"CONTROL","7",0.64733527
"55",6,"CONTROL","8",0.64288133
"56",6,"CONTROL","9",0.59490819
"57",6,"CONTROL","10",0.57249697
"58",6,"CONTROL","11",0.56807023
"59",6,"CONTROL","12",0.593156
"60",6,"CONTROL","13",0.59695696
"61",6,"CONTROL","14",0.6080034
"62",6,"CONTROL","15",0.65759541
"63",6,"CACHD1_MUTANT1","1",0.50006657
"64",6,"CACHD1_MUTANT1","2",0.5764911
"65",6,"CACHD1_MUTANT1","3",0.66645705
"66",6,"CACHD1_MUTANT1","4",0.70954635
"67",6,"CACHD1_MUTANT1","5",0.6707668
"68",6,"CACHD1_MUTANT1","6",0.62086734
"69",6,"CACHD1_MUTANT1","7",0.62266035
"70",6,"CACHD1_MUTANT1","8",0.55290177
"71",6,"CACHD1_MUTANT1","9",0.46539271
"72",6,"CACHD1_MUTANT1","10",0.62283992
"73",6,"CACHD1_MUTANT1","11",0.6660054
"74",6,"CACHD1_MUTANT1","12",0.75429261
"75",6,"CACHD1_MUTANT1","13",0.75816431
"76",6,"CACHD1_MUTANT1","14",0.71086866
"77",6,"CACHD1_MUTANT1","15",0.68769561
"78",6,"CACHD1_MUTANT1","16",0.572867
"79",6,"CACHD1_MUTANT2","1",0.5564633
"80",6,"CACHD1_MUTANT2","2",0.5761238
"81",6,"CACHD1_MUTANT2","3",0.62424113
"82",6,"CACHD1_MUTANT2","4",0.70163154
"83",6,"CACHD1_MUTANT2","5",0.68993483
"84",6,"CACHD1_MUTANT2","6",0.64598576
"85",6,"CACHD1_MUTANT2","7",0.65426243
"86",6,"CACHD1_MUTANT2","8",0.65022476
"87",6,"CACHD1_MUTANT2","9",0.46242976
"88",6,"CACHD1_MUTANT2","10",0.58153275
"89",6,"CACHD1_MUTANT2","11",0.66896563
"90",6,"CACHD1_MUTANT2","12",0.79847839
"91",6,"CACHD1_MUTANT2","13",0.80231744
"92",6,"CACHD1_MUTANT2","14",0.77003244
"93",6,"CACHD1_MUTANT2","15",0.76985014
"94",6,"CACHD1_MUTANT2","16",0.6000505
"95",9,"CONTROL","1",0.77117789
"96",9,"CONTROL","2",0.67809391
"97",9,"CONTROL","3",0.63545627
"98",9,"CONTROL","4",0.62113398
"99",9,"CONTROL","5",0.6915401
"100",9,"CONTROL","6",0.65698051
"101",9,"CONTROL","7",0.69789861
"102",9,"CONTROL","8",0.72184708
"103",9,"CONTROL","9",0.77417349
"104",9,"CONTROL","10",0.62597428
"105",9,"CONTROL","11",0.65560106
"106",9,"CONTROL","12",0.62345482
"107",9,"CONTROL","13",0.62892635
"108",9,"CONTROL","14",0.70381635
"109",9,"CONTROL","15",0.7866402
"110",9,"CACHD1_MUTANT1","1",0.88710027
"111",9,"CACHD1_MUTANT1","2",0.874337
"112",9,"CACHD1_MUTANT1","3",0.78091291
"113",9,"CACHD1_MUTANT1","4",0.8299526
"114",9,"CACHD1_MUTANT1","5",0.80868955
"115",9,"CACHD1_MUTANT1","6",0.82246224
"116",9,"CACHD1_MUTANT1","7",0.8144903
"117",9,"CACHD1_MUTANT1","8",0.87141486
"118",9,"CACHD1_MUTANT1","9",0.87081356
"119",9,"CACHD1_MUTANT1","10",0.83460789
"120",9,"CACHD1_MUTANT1","11",0.8173553
"121",9,"CACHD1_MUTANT1","12",0.8075441
"122",9,"CACHD1_MUTANT1","13",0.82025295
"123",9,"CACHD1_MUTANT1","14",0.82806708
"124",9,"CACHD1_MUTANT1","15",0.84399736
"125",9,"CACHD1_MUTANT1","16",0.84016648
"126",9,"CACHD1_MUTANT2","1",0.86573383
"127",9,"CACHD1_MUTANT2","2",0.72529706
"128",9,"CACHD1_MUTANT2","3",0.71426422
"129",9,"CACHD1_MUTANT2","4",0.7636304
"130",9,"CACHD1_MUTANT2","5",0.73852286
"131",9,"CACHD1_MUTANT2","6",0.72078869
"132",9,"CACHD1_MUTANT2","7",0.78002593
"133",9,"CACHD1_MUTANT2","8",0.84262064
"134",9,"CACHD1_MUTANT2","9",0.86110303
"135",9,"CACHD1_MUTANT2","10",0.84000051
"136",9,"CACHD1_MUTANT2","11",0.91918393
"137",9,"CACHD1_MUTANT2","12",0.84681611
"138",9,"CACHD1_MUTANT2","13",0.85167546
"139",9,"CACHD1_MUTANT2","14",0.87742782
"140",9,"CACHD1_MUTANT2","15",0.87916097
"141",9,"CACHD1_MUTANT2","16",0.91858535
"142",12,"CONTROL","1",0.8904006
"143",12,"CONTROL","2",0.6868304
"144",12,"CONTROL","3",0.68515983
"145",12,"CONTROL","4",0.78104623
"146",12,"CONTROL","5",0.69848086
"147",12,"CONTROL","6",0.68378854
"148",12,"CONTROL","7",0.75082359
"149",12,"CONTROL","8",0.90636352
"150",12,"CONTROL","9",0.92406232
"151",12,"CONTROL","10",0.60537511
"152",12,"CONTROL","11",0.65665401
"153",12,"CONTROL","12",0.65334008
"154",12,"CONTROL","13",0.62232841
"155",12,"CONTROL","14",0.74057434
"156",12,"CONTROL","15",0.94297732
"157",12,"CACHD1_MUTANT1","1",0.92162177
"158",12,"CACHD1_MUTANT1","2",0.99145652
"159",12,"CACHD1_MUTANT1","3",0.89972205
"160",12,"CACHD1_MUTANT1","4",0.96890382
"161",12,"CACHD1_MUTANT1","5",0.91509457
"162",12,"CACHD1_MUTANT1","6",0.92797483
"163",12,"CACHD1_MUTANT1","7",0.92402695
"164",12,"CACHD1_MUTANT1","8",0.98930709
"165",12,"CACHD1_MUTANT1","9",0.95134106
"166",12,"CACHD1_MUTANT1","10",0.92919919
"167",12,"CACHD1_MUTANT1","11",0.86994563
"168",12,"CACHD1_MUTANT1","12",0.90896189
"169",12,"CACHD1_MUTANT1","13",0.88835183
"170",12,"CACHD1_MUTANT1","14",0.81500997
"171",12,"CACHD1_MUTANT1","15",0.95022825
"172",12,"CACHD1_MUTANT1","16",0.94407924
"173",12,"CACHD1_MUTANT2","1",0.98451576
"174",12,"CACHD1_MUTANT2","2",0.74372503
"175",12,"CACHD1_MUTANT2","3",0.75602576
"176",12,"CACHD1_MUTANT2","4",0.78829716
"177",12,"CACHD1_MUTANT2","5",0.85818361
"178",12,"CACHD1_MUTANT2","6",0.79207091
"179",12,"CACHD1_MUTANT2","7",0.84920497
"180",12,"CACHD1_MUTANT2","8",0.87915553
"181",12,"CACHD1_MUTANT2","9",0.9928931
"182",12,"CACHD1_MUTANT2","10",1.0094927
"183",12,"CACHD1_MUTANT2","11",0.97585274
"184",12,"CACHD1_MUTANT2","12",0.98638495
"185",12,"CACHD1_MUTANT2","13",0.98712773
"186",12,"CACHD1_MUTANT2","14",0.92499828
"187",12,"CACHD1_MUTANT2","15",0.94736325
"188",12,"CACHD1_MUTANT2","16",1.08709261
"189",18,"CONTROL","1",1.07596454
"190",18,"CONTROL","2",1.00691882
"191",18,"CONTROL","3",0.98676314
"192",18,"CONTROL","4",0.89412265
"193",18,"CONTROL","5",1.32662089
"194",18,"CONTROL","6",1.01074971
"195",18,"CONTROL","7",0.96782638
"196",18,"CONTROL","8",1.02206551
"197",18,"CONTROL","9",1.05533
"198",18,"CONTROL","10",0.919573
"199",18,"CONTROL","11",1.02320009
"200",18,"CONTROL","12",1.12921875
"201",18,"CONTROL","13",1.02644872
"202",18,"CONTROL","14",1.17045518
"203",18,"CONTROL","15",1.14631353
"204",18,"CACHD1_MUTANT1","1",1.41714733
"205",18,"CACHD1_MUTANT1","2",1.38367333
"206",18,"CACHD1_MUTANT1","3",1.38258501
"207",18,"CACHD1_MUTANT1","4",1.2753828
"208",18,"CACHD1_MUTANT1","5",1.34874916
"209",18,"CACHD1_MUTANT1","6",1.35471587
"210",18,"CACHD1_MUTANT1","7",1.33969978
"211",18,"CACHD1_MUTANT1","8",1.5208125
"212",18,"CACHD1_MUTANT1","9",1.42934739
"213",18,"CACHD1_MUTANT1","10",1.39876017
"214",18,"CACHD1_MUTANT1","11",1.38945775
"215",18,"CACHD1_MUTANT1","12",1.5050101
"216",18,"CACHD1_MUTANT1","13",1.30957781
"217",18,"CACHD1_MUTANT1","14",1.43071867
"218",18,"CACHD1_MUTANT1","15",1.34727448
"219",18,"CACHD1_MUTANT1","16",1.63184015
"220",18,"CACHD1_MUTANT2","1",1.51961263
"221",18,"CACHD1_MUTANT2","2",1.06045055
"222",18,"CACHD1_MUTANT2","3",0.94594299
"223",18,"CACHD1_MUTANT2","4",1.26191213
"224",18,"CACHD1_MUTANT2","5",1.37433283
"225",18,"CACHD1_MUTANT2","6",1.16347089
"226",18,"CACHD1_MUTANT2","7",1.19536682
"227",18,"CACHD1_MUTANT2","8",1.32258595
"228",18,"CACHD1_MUTANT2","9",1.80456465
"229",18,"CACHD1_MUTANT2","10",1.37168821
"230",18,"CACHD1_MUTANT2","11",1.39054335
"231",18,"CACHD1_MUTANT2","12",1.84091997
"232",18,"CACHD1_MUTANT2","13",1.31038861
"233",18,"CACHD1_MUTANT2","14",1.36895925
"234",18,"CACHD1_MUTANT2","15",1.72518805
"235",18,"CACHD1_MUTANT2","16",1.56795851
"236",21,"CONTROL","1",1.00150443
"237",21,"CONTROL","2",1.0053326
"238",21,"CONTROL","3",0.95399111
"239",21,"CONTROL","4",0.9802305
"240",21,"CONTROL","5",1.440821
"241",21,"CONTROL","6",1.0379577
"242",21,"CONTROL","7",1.03617558
"243",21,"CONTROL","8",0.93208052
"244",21,"CONTROL","9",1.01981813
"245",21,"CONTROL","10",1.04219398
"246",21,"CONTROL","11",1.12050131
"247",21,"CONTROL","12",1.15320531
"248",21,"CONTROL","13",1.0606138
"249",21,"CONTROL","14",1.24985627
"250",21,"CONTROL","15",1.08093544
"251",21,"CACHD1_MUTANT1","1",1.32741537
"252",21,"CACHD1_MUTANT1","2",1.3199767
"253",21,"CACHD1_MUTANT1","3",1.35271064
"254",21,"CACHD1_MUTANT1","4",1.37168549
"255",21,"CACHD1_MUTANT1","5",1.39654544
"256",21,"CACHD1_MUTANT1","6",1.31816465
"257",21,"CACHD1_MUTANT1","7",1.14686857
"258",21,"CACHD1_MUTANT1","8",1.56685386
"259",21,"CACHD1_MUTANT1","9",1.64768337
"260",21,"CACHD1_MUTANT1","10",1.36073972
"261",21,"CACHD1_MUTANT1","11",1.44035574
"262",21,"CACHD1_MUTANT1","12",1.28406215
"263",21,"CACHD1_MUTANT1","13",1.3788031
"264",21,"CACHD1_MUTANT1","14",1.47803337
"265",21,"CACHD1_MUTANT1","15",1.34806896
"266",21,"CACHD1_MUTANT1","16",1.79228024
"267",21,"CACHD1_MUTANT2","1",1.86152186
"268",21,"CACHD1_MUTANT2","2",1.19216716
"269",21,"CACHD1_MUTANT2","3",1.16821596
"270",21,"CACHD1_MUTANT2","4",1.59130297
"271",21,"CACHD1_MUTANT2","5",1.52223004
"272",21,"CACHD1_MUTANT2","6",1.30055564
"273",21,"CACHD1_MUTANT2","7",1.11837908
"274",21,"CACHD1_MUTANT2","8",1.29809876
"275",21,"CACHD1_MUTANT2","9",1.63878635
"276",21,"CACHD1_MUTANT2","10",1.65799248
"277",21,"CACHD1_MUTANT2","11",1.5291191
"278",21,"CACHD1_MUTANT2","12",1.91830222
"279",21,"CACHD1_MUTANT2","13",1.34694527
"280",21,"CACHD1_MUTANT2","14",1.70521195
"281",21,"CACHD1_MUTANT2","15",1.7264233
"282",21,"CACHD1_MUTANT2","16",1.72878767
"283",24,"CONTROL","1",1.06439026
"284",24,"CONTROL","2",1.02618752
"285",24,"CONTROL","3",0.95799341
"286",24,"CONTROL","4",1.31913326
"287",24,"CONTROL","5",1.50034665
"288",24,"CONTROL","6",1.04681934
"289",24,"CONTROL","7",1.06298905
"290",24,"CONTROL","8",1.09706706
"291",24,"CONTROL","9",1.08963112
"292",24,"CONTROL","10",1.25053919
"293",24,"CONTROL","11",1.23761267
"294",24,"CONTROL","12",1.26885289
"295",24,"CONTROL","13",1.09741533
"296",24,"CONTROL","14",1.34527197
"297",24,"CONTROL","15",1.09502918
"298",24,"CACHD1_MUTANT1","1",1.16519316
"299",24,"CACHD1_MUTANT1","2",1.26082109
"300",24,"CACHD1_MUTANT1","3",1.39054063
"301",24,"CACHD1_MUTANT1","4",1.35144547
"302",24,"CACHD1_MUTANT1","5",1.51511787
"303",24,"CACHD1_MUTANT1","6",1.37313568
"304",24,"CACHD1_MUTANT1","7",1.46886972
"305",24,"CACHD1_MUTANT1","8",1.44673874
"306",24,"CACHD1_MUTANT1","9",1.59572426
"307",24,"CACHD1_MUTANT1","10",1.69296291
"308",24,"CACHD1_MUTANT1","11",1.3011651
"309",24,"CACHD1_MUTANT1","12",1.49010284
"310",24,"CACHD1_MUTANT1","13",1.4154822
"311",24,"CACHD1_MUTANT1","14",1.46394779
"312",24,"CACHD1_MUTANT1","15",1.26104147
"313",24,"CACHD1_MUTANT1","16",1.50031128
"314",24,"CACHD1_MUTANT2","1",1.89001135
"315",24,"CACHD1_MUTANT2","2",1.32343212
"316",24,"CACHD1_MUTANT2","3",1.27831583
"317",24,"CACHD1_MUTANT2","4",1.69155353
"318",24,"CACHD1_MUTANT2","5",1.69667136
"319",24,"CACHD1_MUTANT2","6",1.53357033
"320",24,"CACHD1_MUTANT2","7",1.28610547
"321",24,"CACHD1_MUTANT2","8",1.46788751
"322",24,"CACHD1_MUTANT2","9",1.45102672
"323",24,"CACHD1_MUTANT2","10",1.42380512
"324",24,"CACHD1_MUTANT2","11",1.45531198
"325",24,"CACHD1_MUTANT2","12",1.86409574
"326",24,"CACHD1_MUTANT2","13",1.56448949
"327",24,"CACHD1_MUTANT2","14",1.55087733
"328",24,"CACHD1_MUTANT2","15",1.6622995
"329",24,"CACHD1_MUTANT2","16",1.78187319
"330",27,"CONTROL","1",1.25610866
"331",27,"CONTROL","2",1.0801709
"332",27,"CONTROL","3",1.03943509
"333",27,"CONTROL","4",1.55595434
"334",27,"CONTROL","5",1.65291274
"335",27,"CONTROL","6",1.21350639
"336",27,"CONTROL","7",1.16292129
"337",27,"CONTROL","8",1.13234495
"338",27,"CONTROL","9",1.24986715
"339",27,"CONTROL","10",1.37629725
"340",27,"CONTROL","11",1.29978021
"341",27,"CONTROL","12",1.30863913
"342",27,"CONTROL","13",1.13752263
"343",27,"CONTROL","14",1.61845654
"344",27,"CONTROL","15",1.19620483
"345",27,"CACHD1_MUTANT1","1",1.25168192
"346",27,"CACHD1_MUTANT1","2",1.53107263
"347",27,"CACHD1_MUTANT1","3",1.32342396
"348",27,"CACHD1_MUTANT1","4",1.34678474
"349",27,"CACHD1_MUTANT1","5",1.60841679
"350",27,"CACHD1_MUTANT1","6",1.61010369
"351",27,"CACHD1_MUTANT1","7",1.54596629
"352",27,"CACHD1_MUTANT1","8",1.32958929
"353",27,"CACHD1_MUTANT1","9",1.64064738
"354",27,"CACHD1_MUTANT1","10",1.73463739
"355",27,"CACHD1_MUTANT1","11",1.22983118
"356",27,"CACHD1_MUTANT1","12",1.43652214
"357",27,"CACHD1_MUTANT1","13",1.29427875
"358",27,"CACHD1_MUTANT1","14",1.3550342
"359",27,"CACHD1_MUTANT1","15",1.24838703
"360",27,"CACHD1_MUTANT1","16",1.58650348
"361",27,"CACHD1_MUTANT2","1",2.24908067
"362",27,"CACHD1_MUTANT2","2",1.5229184
"363",27,"CACHD1_MUTANT2","3",1.42635451
"364",27,"CACHD1_MUTANT2","4",1.51864946
"365",27,"CACHD1_MUTANT2","5",1.86326589
"366",27,"CACHD1_MUTANT2","6",1.74691364
"367",27,"CACHD1_MUTANT2","7",1.45490658
"368",27,"CACHD1_MUTANT2","8",1.69289217
"369",27,"CACHD1_MUTANT2","9",1.61888099
"370",27,"CACHD1_MUTANT2","10",1.52838176
"371",27,"CACHD1_MUTANT2","11",1.41424696
"372",27,"CACHD1_MUTANT2","12",1.79120281
"373",27,"CACHD1_MUTANT2","13",1.42507846
"374",27,"CACHD1_MUTANT2","14",1.52502974
"375",27,"CACHD1_MUTANT2","15",1.59430673
"376",27,"CACHD1_MUTANT2","16",1.8123407
